,Date Time,Day of Week,Object 1,Object 2,Street Number,Street Name,Cross Street,Near Street,Location,May involve cyclist,May Involve Pedestrian,Manner of Collision,First Harmful Event Location,First Harmful Event,Ambient Light,Weather Condition 1,Weather Condition 2,Traffic Control Device Type,Traffic Control Device Functionality,Road Surface Condition,Roadway Junction Type,Trafficway Description,School Bus Related,Work Zone,Speed Limit,Street or Intersection,Intersection Name 1,Intersection Direction 1,Intersection Name 2,Intersection Direction 2,Intersection Name 3,Intersection Direction 3,Street Direction,Nearest Intersection Distance,Nearest Intersection Direction,Landmark Distance,Landmark Direction,Landmark,Mile Marker Direction,Non Public Area,Road Contributing,Damaged Property Type,Description of Damaged Property,V1 Registration Type,v1 State Code,V1 Configuration,V1 Emergency Response,V1 Moped,V1 Hit and Run,V1 Action Prior to Crash,V1 Model Year,V1 Most Harmful Event,V1 Model,V1 Make,V1 Occupant Count,V1 Underride Override,V1 First Event,V1 Second Event,V1 Third Event,V1 Fourth Event,V1 Most Damaged Area,V1 Second Damaged Area,V1 Third Damaged Area,V1 Towed,V1 Travel Direction,V1 Interstate,V1 Cargo Body Type,V1 Gross Weight,V1 Haz Placard,V1 Haz Release,V1 Trailer Reg Type,V1 Trailer Reg Plate,V1 Trailer Reg State,V1 Trailer Reg Year,V1 Trailer Len,V1 Driver Contribution,V1 Driver Contribution 2,V1 Is Truck,V1 Has Trailer,V1 Is Bus,V1 Is Hazmat,V1 Reg Year,V1 Driver Distracted,V1 Bus Use,V1 Tow Use,V2 Registration Type,V2 State Code,V2 Configuration,V2 Emergency Response,V2 Moped,V2 Hit and Run,V2 Action Prior to Crash,V2 Model Year,V2 Most Harmful Event,V2 Model,V2 Make,V2 Occupant Count,V2 Underride Override,V2 First Event,V2 Second Event,V2 Third Event,V2 Fourth Event,V2 Most Damaged Area,V2 Second Damaged Area,V2 Third Damaged Area,V2 Towed,V2 Travel Direction,V2 Interstate,V2 Cargo Body Type,V2 Gross Weight,V2 Haz Placard,V2 Haz Release,V2 Trailer Reg Type,V2 Trailer Reg Plate,V2 Trailer Reg State,V2 Trailer Reg Year,V2 Trailer Len,V2 Driver Contribution,V2 Driver Contribution 2,V2 Is Truck,V2 Has Trailer,V2 Is Bus,V2 Is Hazmat,V2 Reg Year,V2 Driver Distracted,V2 Bus Use,V2 Tow Use,P1 Role,P1 Injury,P1 Drivers Lic State,P1 Drivers Lic Class 1,P1 Drivers Lic Class 2,P1 Drivers Lic Restrict,P1 Non Motorist Desc,P1 Non Motorist Action,P1 Non Motorist Location,P1 Safety Equipment,P1 Age,P1 Sex,P1 Seat Position,P1 Safety System,P1 Trapped,P1 Veh Owner,P2 Role,P2 Injury,P2 Drivers Lic State,P2 Drivers Lic Class 1,P2 Drivers Lic Class 2,P2 Drivers Lic Restrict,P2 Non Motorist Desc,P2 Non Motorist Action,P2 Non Motorist Location,P2 Safety Equipment,P2 Age,P2 Sex,P2 Seat Position,P2 Safety System,P2 Trapped,P2 Veh Owner
3660,07/13/2015 09:45:00 AM,Monday,PASSENGER CAR,,,MASS AVE,BOW STREET,,"MASS AVE
Cambridge, MA",1.0,,UNKNOWN,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,CLEAR,NO CONTROLS,,DRY,FOUR WAY INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,,INTERSECTION,MASS AVE,NORTHBOUND,BOW STREET,WESTBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TRAVELING STRAIGHT AHEAD,2010.0,COLLISION WITH PEDALCYCLE,RAV4,TOYOTA,1.0,,COLLISION WITH PEDALCYCLE,OTHER,OTHER,,LEFT FRONT,LEFT FRONT,LEFT FRONT,N,NORTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,NO IMPROPER DRIVING,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,,,,Y,NON-MOTORIST,NO INJURY,OHIO,,,,CYCLIST,ENTERING OR CROSSING SPECIFIED LOCATION,CYCLIST,HELMET,,FEMALE,,,,
3684,02/18/2016 09:00:00 AM,Thursday,PASSENGER CAR,,,MASS AVE,VASSAR ST,,"MASS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,FOUR WAY INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,,INTERSECTION,MASS AVE,,VASSAR ST,,,,,,,,,,,,,,,LVN,MA,PASSENGER CAR,N,,,TURNING LEFT,2012.0,COLLISION WITH PEDALCYCLE,200,CHRY,1.0,,COLLISION WITH PEDALCYCLE,,,,CENTER FRONT,,,N,WESTBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,UNINVOLVED OWNER,,,,,,,,,,,MALE,,,,Y
3690,09/07/2015 01:32:00 PM,Monday,PASSENGER CAR,,2495,MASS AVE,,,"2495 MASS AVE
Cambridge, MA
(42.399158, -71.132319)",1.0,,SINGLE VEHICLE CRASH,,,DAYLIGHT,CLEAR,,NO CONTROLS,,,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",,,,NON INTERSECTION,,,,,,,WESTBOUND,,,,,,,,,,,PAN,MA,PASSENGER CAR,N,,,PARKED,2000.0,,ECHO,TOYOTA,1.0,,COLLISION WITH PEDALCYCLE,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,,MASSACHUSETTS,,,,,,,,,MALE,,,,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,UNKNOWN,,MALE,,,,
3710,06/01/2016 12:45:00 PM,Wednesday,PASSENGER CAR,,1400,MASS AVE,,BRATTLE,"1400 MASS AVE
Cambridge, MA
(42.37344, -71.119439)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,,NON INTERSECTION,,,,,,,,,,,,,,,,,,PAN,MA,PASSENGER CAR,N,,,SLOWING OR STOPPED IN TRAFFIC,2016.0,COLLISION WITH PEDALCYCLE,CAMRY,TOYT,2.0,,COLLISION WITH PEDALCYCLE,,,,UNKNOWN,,,N,SOUTHBOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNINVOLVED OWNER,,MASSACHUSETTS,,,,,,,,,MALE,,,,Y,NON-MOTORIST,NON FATAL INJURY - POSSIBLE,MASSACHUSETTS,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,UNKNOWN,,FEMALE,,,,
3711,08/03/2015 11:32:00 AM,Monday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,MASS AVE,STATE STREET,,"MASS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,,INTERSECTION,MASS AVE,,STATE STREET,,,,,,,,,,,,NONE,,,CON,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,TURNING LEFT,2015.0,COLLISION WITH PEDALCYCLE,SIENNA,TOYOTA,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT FRONT,,,N,EASTBOUND,,,,,,,,,,,VISIBILITY OBSTRUCTED,,,,,,,NOT DISTRACTED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,,,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,,NON-MOTORIST,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,CORRECTIVE LENSES,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,HELMET,,MALE,,,,
3715,05/08/2015 12:48:00 PM,Friday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,MASSACHUSETTS AVE,,,,1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,CLEAR,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,30,NON INTERSECTION,,,,,,,EASTBOUND,,,125,WESTBOUND,AMHERST STREET,,,NONE,,,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,TURNING RIGHT,2004.0,COLLISION WITH PEDALCYCLE,MINIVAN,TOYOTA,2.0,,COLLISION WITH PEDALCYCLE,,,,CENTER FRONT,,,N,EASTBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,INATTENTION,,,,,,EXTERNAL DISTRACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,NONE USED,,MALE,,,,
3765,11/24/2015 03:40:00 PM,Tuesday,PASSENGER CAR,,,MASSACHUSETTS AVE,COGSWELL AVE,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,STOP SIGNS,YES,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,,INTERSECTION,MASSACHUSETTS AVE,EASTBOUND,COGSWELL AVE,NORTHBOUND,,,,,,,,,,,NONE,OTHER,BICYCLE,PAN,MA,PASSENGER CAR,N,,,TRAVELING STRAIGHT AHEAD,1997.0,COLLISION WITH PEDALCYCLE,MAXIMA,NISSAN,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT REAR,,,N,NORTHBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,WISCONSIN,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,HELMET,,FEMALE,,,,
3843,11/20/2015 04:22:00 PM,Friday,PASSENGER CAR,,502,MASSACHUSETTS AVENUE,,,"502 MASSACHUSETTS AVENUE
Cambridge, MA
(42.364141, -71.101608)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,CLEAR,NO CONTROLS,YES,DRY,NOT AT INTERSECTION,,NO,NO,5,NON INTERSECTION,,,,,,,EASTBOUND,,,,,,,,,,,PAN,MA,PASSENGER CAR,N,,,TRAVELING STRAIGHT AHEAD,2007.0,,CIVIC,HONDA,2.0,,COLLISION WITH PEDALCYCLE,,,,,,,N,EASTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,NO IMPROPER DRIVING,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,FEMALE,,,,Y,WITNESS,,,,,,,,,,,FEMALE,,,,
3850,08/17/2016 09:23:00 PM,Wednesday,PASSENGER CAR,,,MASSACHUSETTS AVENUE,LANSDOWNE ST.,,"MASSACHUSETTS AVENUE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,,,NO,NO,,INTERSECTION,MASSACHUSETTS AVENUE,WESTBOUND,LANSDOWNE ST.,SOUTHBOUND,,,,,,,,,,,NONE,OTHER,TREK MOUNTIAN BIKE,PAN,MA,PASSENGER CAR,N,,,TRAVELING STRAIGHT AHEAD,2105.0,COLLISION WITH PEDALCYCLE,A3,AUDI,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT FRONT,,,N,WESTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,,MASSACHUSETTS,"D, CLASS D VEHICLES",,CORRECTIVE LENSES,,,,,,MALE,,,,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,NONE USED,,FEMALE,,,,
3868,11/12/2015 06:02:00 PM,Thursday,PASSENGER CAR,,,MASSACHUSETTS AVENUE,MELLEN STREET,,"MASSACHUSETTS AVENUE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DARK - ROADWAY NOT LIGHTED,RAIN,,NO CONTROLS,,WET,FOUR WAY INTERSECTION,,NO,NO,30,INTERSECTION,MASSACHUSETTS AVENUE,SOUTHBOUND,MELLEN STREET,EASTBOUND,LANGDON STREEET,EASTBOUND,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,SLOWING OR STOPPED IN TRAFFIC,2001.0,COLLISION WITH PEDALCYCLE,S60,VOLVO,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT FRONT,,,N,EASTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - POSSIBLE,MASSACHUSETTS,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,HELMET,,FEMALE,,,,
3879,08/16/2015 12:05:00 PM,Sunday,PASSENGER CAR,,,MASSACHUSETTS AVENUE,,BLANCHE STREET,,1.0,,"SIDESWIPE, SAME DIRECTION",ROADSIDE,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,YES,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,,NON INTERSECTION,MASSACHUSETTS AVENUE,SOUTHBOUND,BLANCHE STREET,EASTBOUND,SIDNEY STREET,EASTBOUND,SOUTHBOUND,40 FEET,EASTBOUND,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TRAVELING STRAIGHT AHEAD,2000.0,COLLISION WITH PEDALCYCLE,CAMRY,TOYOTA,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT SIDE,,,N,,,,,,,,,,,,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,CORRECTIVE LENSES,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,"D, CLASS D VEHICLES",,CORRECTIVE LENSES,CYCLIST,"WALKING, RUNNING OR CYCLING",,HELMET,,FEMALE,,,,
3914,09/20/2018 08:35:00 PM,Thursday,"SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)",,,MASSACHUSETTS AVENUE,TROWBRIDGE STREET,,"MASSACHUSETTS AVENUE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,DARK - LIGHTED ROADWAY,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,T-INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MASSACHUSETTS AVENUE,WESTBOUND,TROWBRIDGE STREET,NORTHBOUND,,,,,,,,,,,NONE,OTHER,RALEIGH BICYCLE,RPN,MA,"SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)",N,,,TURNING RIGHT,2010.0,COLLISION WITH PEDALCYCLE,268,HINO 268,1.0,,COLLISION WITH PEDALCYCLE,,,,NONE,NONE,NONE,N,NORTHBOUND,,FLATBED,"10,001 - 26000 POUNDS",,,,,,,,NO IMPROPER DRIVING,,Y,,,,,NOT DISTRACTED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,UNINVOLVED OWNER,,,,,,,,,,,,,,,Y
3928,11/07/2018 06:37:00 PM,Wednesday,PASSENGER CAR,OTHER,,BAY,MASSACHUSETTS AVE,,"BAY
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DARK - LIGHTED ROADWAY,CLEAR,,STOP SIGNS,YES,DRY,T-INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,BAY,NORTHBOUND,MASSACHUSETTS AVE,EASTBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING LEFT,2014.0,COLLISION WITH PEDALCYCLE,PASSAT,VOLK,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT FRONT,,,N,NORTHBOUND,,,,,,,,,,,INATTENTION,,,,,,,NOT DISTRACTED,,,,MA,OTHER,N,,,TRAVELING STRAIGHT AHEAD,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,BIKE,BIKE,1.0,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,,,,NONE,,,N,EASTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,51.0,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,,NON-MOTORIST,NO INJURY,MASSACHUSETTS,UNKNOWN,,NONE,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,27.0,MALE,,,,
3954,09/13/2017 02:25:00 PM,Wednesday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,1726,MASS AVE,,,"1726 MASS AVE
Cambridge, MA
(42.384015, -71.119546)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,0,NON INTERSECTION,,,,,,,EASTBOUND,,,,,,,,NONE,,,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,PARKED,2008.0,COLLISION WITH PEDALCYCLE,ZX9,MAZDA,2.0,,COLLISION WITH PEDALCYCLE,,,,LEFT SIDE,,,N,EASTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,OCCUPANT/PASSENGER,NO INJURY,,,,,,,,,,FEMALE,FRONT SEAT - RIGHT SIDE,UNKNOWN,NOT TRAPPED,
3989,05/03/2018 05:35:00 PM,Thursday,PASSENGER CAR,,,MASSACHUSETTS AVE,ELLERY,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,STOP SIGNS,,DRY,T-INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MASSACHUSETTS AVE,NORTHBOUND,ELLERY,WESTBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,ENTERING TRAFFIC LANE,2015.0,COLLISION WITH PEDALCYCLE,XC60,VOLVO,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT FRONT,,,N,EASTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,,Y,,,,,,,,,,,,,,,,
4023,07/30/2018 11:56:00 PM,Monday,PASSENGER CAR,,,MASSACHUSETTS AVE,,LANDSDOWNE ST,,1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DARK - LIGHTED ROADWAY,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,EASTBOUND,,SOUTHBOUND,,,,,,NONE,,,HLG7972,NY,PASSENGER CAR,N,,Y,BACKING,2018.0,COLLISION WITH PEDALCYCLE,IMPALA,CHEVY,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT REAR,,,N,EASTBOUND,,,,,,,,,,,INATTENTION,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,UNKNOWN,,UNKNOWN,,UNKNOWN,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,NON-MOTORIST,NO INJURY,,,,,,,,,,MALE,,,,
4033,04/16/2019 10:58:00 AM,Tuesday,"SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)",,1991,MASSACHUSETTS AVE,,BEECH ST,"1991 MASSACHUSETTS AVE
Cambridge, MA
(42.390458, -71.121192)",1.0,,REAR-END,ROADWAY,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,YES,25,NON INTERSECTION,,,,,,,NORTHBOUND,,EASTBOUND,,,,,,NONE,,,APN,MA,"SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)",N,,,PARKED,2007.0,COLLISION WITH PEDALCYCLE,700SER,INTL,1.0,,COLLISION WITH PEDALCYCLE,,,,REAR CENTER,,,N,NORTHBOUND,,,,,,,,,,,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD,,Y,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,NEW HAMPSHIRE,"A, CLASS A VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,NON-MOTORIST,NON FATAL INJURY - INCAPACITATING,,,,,CYCLIST,APPROACHING OR LEAVING VEHICLE,IN ROADWAY,UNKNOWN,,MALE,,,,
4077,07/17/2017 08:09:00 PM,Monday,PASSENGER CAR,,2464,MASSACHUSETTS AVE,,,"2464 MASSACHUSETTS AVE
Cambridge, MA
(42.398544, -71.131673)",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,NON INTERSECTION,,,,,,,SOUTHBOUND,,,,,,,,NONE,,,PAS,MA,PASSENGER CAR,N,,,TURNING LEFT,2010.0,COLLISION WITH PEDALCYCLE,ESCAPE,FORD,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT SIDE,,,N,WESTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,,,,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,MALE,,,,
4079,11/07/2017 08:43:00 AM,Tuesday,PASSENGER CAR,,1280,MASS AVE,,DUNSTER ST,"1280 MASS AVE
Cambridge, MA
(42.372832, -71.116861)",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,YES,DRY,T-INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,NORTHBOUND,,WESTBOUND,,,HARVARD YARD,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING RIGHT,2017.0,COLLISION WITH PEDALCYCLE,DURANGO,DODGE,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT FRONT,,,N,NORTHBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,INATTENTION,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NO INJURY,,,,,,,,,,FEMALE,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,,,,Y
